colony	gene	allele
EPD0065_5_A04_141	Jmjd5	Jmjd5<tm1a(EUCOMM)Wtsi>
EPD0038_2_E10_142	NULL	NULL
EPD0061_1_C10_143	Fabp3	Fabp3<tm1a(EUCOMM)Wtsi>
EPD0039_3_C02_144	Grhl3	Grhl3<tm1a(EUCOMM)Wtsi>
EPD0040_1_B07_145	Limk2	Limk2<tm1a(EUCOMM)Wtsi>
EPD0021_1_F09_146	Prpsap2	Prpsap2<tm1a(EUCOMM)Wtsi>
EPD0057_2_C04_147	Rnf7	Rnf7<tm1a(EUCOMM)Wtsi>
EPD0059_1_A06_148	NULL	NULL
EUCJ0053g09_149	NULL	NULL
EPD0052_1_G06_150	NULL	NULL
EUCJ0012h08_151	NULL	NULL
EPD0037_3_G01_152	NULL	NULL
EPD0057_2_C02_153	Ttll4	Ttll4<tm1a(EUCOMM)Wtsi>
EPD0023_1_F07_154	Slc38a10	Slc38a10<tm2a(EUCOMM)Wtsi>
EPD0069_1_A07_155	NULL	NULL
EPD0069_2_E02_156	Pa2g4	Pa2g4<tm1a(EUCOMM)Wtsi>
EPD0039_1_B01_157	Snip1	Snip1<tm1a(EUCOMM)Wtsi>
EPD0069_1_G06_158	NULL	NULL
EPD0052_3_D02_159	Fam117b	Fam117b<tm1a(EUCOMM)Wtsi>
EPD0027_1_F07_160	NULL	NULL
EPD0027_1_F01_161	NULL	NULL
EPD0160_2_A08_162	Prmt5	Prmt5<tm2a(EUCOMM)Wtsi>
EPD0028_3_D01_163	Hdac3	Hdac3<tm1a(EUCOMM)Wtsi>
EPD0143_4_A03_164	Mks1	Mks1<tm1a(EUCOMM)Wtsi>
EPD0130_2_C06_165	Tcf7l2	Tcf7l2<tm2a(EUCOMM)Wtsi>
B11_166	NULL	NULL
EPD0019_1_D07_167	Chd7	Chd7<tm2a(EUCOMM)Wtsi>
EPD0052_1_F01_168	NULL	NULL
EPD0025_4_H04_169	NULL	NULL
EPD0025_6_A10_170	NULL	NULL
EPD0013_1_G11_171	NULL	NULL
EPD0028_1_G04_172	NULL	NULL
EPD0028_2_B07_173	NULL	NULL
EPD0028_2_F04_174	NULL	NULL
EPD0052_1_B10_175	NULL	NULL
EPD0160_3_C06_176	NULL	NULL
EPD0160_2_A11_177	NULL	NULL
EPD0028_4_H02_178	NULL	NULL
EPD0028_5_A01_179	NULL	NULL
EPD0028_5_E07_180	Ikbkb	Ikbkb<tm1a(EUCOMM)Wtsi>
EPD0021_1_D01_181	NULL	NULL
EPD0130_2_B09_182	Mthfd1l	Mthfd1l<tm1a(EUCOMM)Wtsi>
EPD0027_5_F11_183	NULL	NULL
EPD0027_5_E08_184	NULL	NULL
EPD0070_4_D07_185	NULL	NULL
EPD0070_4_A04_186	NULL	NULL
EPD0027_5_E04_187	Brpf3	Brpf3<tm1a(EUCOMM)Wtsi>
EPD0027_4_H11_188	NULL	NULL
EPD0021_4_A12_189	NULL	NULL
EPD0027_4_C08_190	NULL	NULL
EPD0069_2_H09_191	Sympk	Sympk<tm1a(EUCOMM)Wtsi>
EPD0036_3_A05_192	NULL	NULL
EPD0027_4_B02_193	Rad18	Rad18<tm1a(EUCOMM)Wtsi>
EPD0021_2_G09_194	NULL	NULL
EPD0070_1_A05_195	NULL	NULL
EPD0037_1_F05_196	NULL	NULL
EPD0037_3_D11_197	NULL	NULL
EPD0070_1_G07_198	NULL	NULL
EPD0038_2_A04_199	Stx8	Stx8<tm2a(EUCOMM)Wtsi>
EPD0038_2_E01_200	NULL	NULL
EPD0038_3_D10_201	NULL	NULL
EPD0080_2_A02_202	NULL	NULL
EPD0103_2_B05_203	Mis18bp1	Mis18bp1<tm1a(EUCOMM)Wtsi>
EPD0105_1_A03_204	Prmt8	Prmt8<tm1a(EUCOMM)Wtsi>
EPD0039_5_B05_205	Hspb11	Hspb11<tm1a(EUCOMM)Wtsi>
EPD0028_1_D08_206	NULL	NULL
EPD0113_2_D12_207	NULL	NULL
EPD0043_5_E04_208	NULL	NULL
EPD0045_1_B01_209	NULL	NULL
EPD0045_2_C04_210	Rars2	Rars2<tm1a(EUCOMM)Wtsi>
EPD0046_1_A07_211	Cntfr	Cntfr<tm1a(EUCOMM)Wtsi>
EPD0046_1_C04_212	Wdr47	Wdr47<tm1a(EUCOMM)Wtsi>
EPD0046_1_C10_213	NULL	NULL
EPD0046_1_H01_214	NULL	NULL
EPD0046_2_A08_215	NULL	NULL
EPD0046_2_F02_216	Yipf1 	Yipf1<tm1a(EUCOMM)Wtsi> 
EPD0051_2_B05_217	NULL	NULL
EPD0051_2_D12_218	Adam17	Adam17<tm1a(EUCOMM)Wtsi>
EPD0027_1_C10_219	NULL	NULL
EPD0027_1_D01_220	NULL	NULL
EPD0051_3_C10_221	NULL	NULL
EPD0160_3_A04_222	NULL	NULL
EPD0052_2_F04_223	NULL	NULL
EPD0056_3_A09_224	NULL	NULL
EPD0056_4_B01_225	NULL	NULL
EPD0036_1_F07_226	NULL	NULL
EPD0027_3_D06_227	NULL	NULL
EPD0036_1_F01_228	NULL	NULL
EPD0065_3_E10_229	NULL	NULL
EPD0057_4_A10_230	NULL	NULL
EPD0036_1_B10_231	Bbx	Bbx<tm1a(EUCOMM)Wtsi>
EPD0027_2_F04_232	NULL	NULL
EPD0033_4_C03_233	Zfp106	Zfp106<tm1a(KOMP)Wtsi>
EPD0033_4_A11_234	NULL	NULL
EPD0027_2_B10_235	NULL	NULL
EPD0031_2_F01_236	NULL	NULL
EPD0060_1_A07_237	Sparc	Sparc<tm1a(EUCOMM)Wtsi>
EPD0028_7_G05_238	NULL	NULL
EPD0021_2_B01_239	NULL	NULL
EPD0059_2_C08_240	NULL	NULL
EPD0058_5_D03_241	NULL	NULL
EPD0009_1_F01_242	NULL	NULL
EPD0058_4_E06_243	NULL	NULL
EPD0058_3_G07_244	NULL	NULL
EPD0028_7_A08_245	Slx4	Slx4<tm1a(EUCOMM)Wtsi>
EPD0058_3_B01_246	NULL	NULL
EPD0028_6_G12_247	NULL	NULL
EPD0061_2_F06_248	Prkcz	Prkcz<tm1a(EUCOMM)Wtsi>
EPD0065_1_D04_249	Mapk1	Mapk1<tm1a(EUCOMM)Wtsi>
EPD0065_1_F10_250	NULL	NULL
B07(clone#2repeat)_251	NULL	NULL
EPD0066_2_D10_252	NULL	NULL
EPD0066_2_F01_253	Rhot1	Rhot1<tm1a(EUCOMM)Wtsi>
EPD0058_3_A11_254	Dhcr24	Dhcr24<tm1a(EUCOMM)Wtsi>
EPD0058_2_F07_255	NULL	NULL
EPD0028_6_D04_256	NULL	NULL
EPD0058_2_E04_257	Ints12	Ints12<tm1a(EUCOMM)Wtsi>
EPD0058_2_C10_258	NULL	NULL
EPD0069_3_E07_259	NULL	NULL
EPD0069_4_H07_260	NULL	NULL
EPD0028_5_G06_261	NULL	NULL
EPD0027_2_B01_262	NULL	NULL
