colony	gene	allele
N00007P0_T5B3_10173	Anxa6	Anxa6<tm1(NCOM)Cmhd>
HEPD0534_5_A02_10174	Myoz1	Myoz1<tm1a(EUCOMM)Hmgu>
HEPD0538_5_B01_10175	Gstt1	Gstt1<tm1a(EUCOMM)Hmgu>
HEPD0538_7_A07_10176	Usp12	Usp12<tm1a(EUCOMM)Hmgu>
EPD0103_4_D07_10177	Pik3c3	Pik3c3<tm1a(EUCOMM)Wtsi>
EPD0060_2_D02_10178	Aldh3a2	Aldh3a2<tm1a(EUCOMM)Wtsi>
EPD0113_4_D09_10179	Bspry	Bspry<tm1a(EUCOMM)Wtsi>
EPD0142_4_B09_10180	Crtc1	Crtc1<tm1a(EUCOMM)Wtsi>
EPD0155_1_B07_10181	Tnfrsf1b	Tnfrsf1b<tm1a(EUCOMM)Wtsi>
EPD0175_3_D06_10182	1700052N19Rik	1700052N19Rik<tm1a(EUCOMM)Wtsi>
EPD0140_5_G02_10183	B4galnt3	B4galnt3<tm1a(EUCOMM)Wtsi>
HEPD0501_1_F05_10184	Mrpl10	Mrpl10<tm1a(EUCOMM)Hmgu>
HEPD0507_7_C03_10185	Fpgs	Fpgs<tm1a(EUCOMM)Hmgu>
CMHD-TM_N00016P0_T5D5_10186	Arap1	Arap1<tm1(NCOM)Cmhd>
Abcb4_Balb/cJ_10187	Abcb4	Abcb4<tm1Bor>
EPS8_10188	Eps8	Eps8<tm1Ppdf>
NCAM1_10189	Ncam1	Ncam1<tm1Cgn>
MAG_10190	Mag	Mag<tm1Mtg>
GMC-3_10191	Umod	Umod<urehr4>
GMC-4_10192	Myo6	Myo6<Tlc>
GMC-17_10193	Pias2	Pias2<Gt(pT1Betageo)1Ruiz>
GMC-29_10194	Slc12a1	Slc12a1<urehr3>
CMHD-TM_N00006P0_T6F5_10198	Mcm10	Mcm10<tm1(NCOM)Cmhd>
CMHD-TM_N00086P0_T24C7_10199	Dhx40	Dhx40<tm1(NCOM)Cmhd>
CMHD-TM_N00020P0_T5C11_10200	Tbc1d2	Tbc1d2<tm1(NCOM)Cmhd>
CMHD-TM_N00005P0_T11G1_10201	Zfp202 	Zfp202<tm1(NCOM)Cmhd>
CMHD-TM_N00343P0_T21F5_10204	MGI:1916221	1500001M20Rik<tm1(NCOM)Cmhd>
CMHD-TM_N01539P1_T51C7_10205	Senp6	Senp6<tm1(NCOM)Cmhd>
CMHD-TM_N00324P0_T20D4_10206	Senp3	Senp3<tm1(NCOM)Cmhd>
CMHD-TM_N00135P0_T22G9_10207	Otud7b	Otud7b<tm1(NCOM)Cmhd>
Nr1h4_10208	Nr1h4	Nr1h4
Aste1_10209	Aste1	Aste1
EPD0117_3_G11_10210	Gar1	Gar1<tm1a(EUCOMM)Wtsi>
EPD0173_1_C12_10211	H6pd	H6pd<tm1a(EUCOMM)Wtsi>
EPD0089_3_A10_10212	Mrps35 	Mrps35<tm1a(EUCOMM)Wtsi>
EPD0215_1_D09_10213	2310067B10Rik	2310067B10Rik<tm1a(EUCOMM)Wtsi>
Ncor2_10214	Ncor2	Ncor2
EPD0066_2_A08_10215	Ttll1	Ttll1<tm1a(EUCOMM)Wtsi>
HEPD0509_6_A04_10216	Cops4	Cops4<tm1a(EUCOMM)Hmgu>
HEPD0523_5_A03_10217	Xiap	Xiap<tm1a(EUCOMM)Hmgu>
Gbx1_10218	Gbx1	Gbx1
EPD0146_4_H09_10219	Fabp12	Fabp12<tm1a(EUCOMM)Wtsi>
EPD0017_3_E02_10220	Impad1	Impad1<tm1a(KOMP)Wtsi>
129/SvEv-Gnas<tm1Jop>/H_10221	Gnas	Gnas<tm1Jop>
EPD0089_2_G11_10224	Ruvbl1	Ruvbl1<tm1a(EUCOMM)Wtsi>
EPD0215_4_A11_10225	Drg2	Drg2<tm1a(EUCOMM)Wtsi>
EPD0226_6_B08_10226	Sox13	Sox13<tm1a(EUCOMM)Wtsi>
HEPD0522_1_A11_10227	Btk	Btk<tm1a(EUCOMM)Hmgu>
EPD0155_2_E05_10228	Ift122	Ift122<tm1a(EUCOMM)Wtsi>
EPD0090_5_B04_10229	Spns2	Spns2<tm1a(KOMP)Wtsi>
EPD0056_1_B09_10230	Trim45	Trim45<tm1a(KOMP)Wtsi>
EPD0025_2_A04_10231	Trpc4ap	Trpc4ap<tm1a(KOMP)Wtsi>
EPD0033_3_F04_10232	Kdm4c	Kdm4c<tm1a(KOMP)Wtsi>
EPD0242_4_B03_10233	Setmar	Setmar<tm1a(EUCOMM)Wtsi>
EPD0037_1_B03_10234	Fam134c	Fam134c<tm2a(EUCOMM)Wtsi>
EPD0127_5_E05_10235	Twf1	Twf1<tm1a(EUCOMM)Wtsi>
HEPD0510_6_G06_10236	Dpm2	Dpm2<tm1a(EUCOMM)Hmgu>
EPD0037_1_E07_10237	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
HEPD0523_5_D11_10238	Mybpc3	Mybpc3<tm1a(EUCOMM)Hmgu>
EPD0069_3_A11_10240	Cul7	Cul7<tm1a(EUCOMM)Wtsi>
129S9/SvEvH-Nodal<tm1Rob>/H_10243	Nodal	Nodal<tm1Rob>
EPD0175_1_E10_10244	2810408A11Rik	2810408A11Rik<tm1a(EUCOMM)Wtsi>
129S9/SvEvH-Ablim1<tm1H>/H _10245	Ablim1	Ablim1
EPD0060_2_C05_10246	Fam83g	Fam83g<tm1a(EUCOMM)Wtsi>
129P2/OlaHsd-Tpcn1<Gt(XG716)Byg>/H_10247	Tpcn1	Tpcn1<Gt(XG716)Byg>
HEPD0525_1_C12 _10248	Capn5	Capn5<tm1a(EUCOMM)Hmgu>
EPD0059_1_A09_10249	Ccdc104	Ccdc104<tm1a(EUCOMM)Wtsi>
B6.Cg-cub/H_10250	cub	cub
129P2/OlaHsd-Tpcn2<Gt(YHD437)Byg>/H_10251	Tpcn2	Tpcn2<Gt(YHD437)Byg>
HEPD0507_5_B06_10252	Dnajc10	Dnajc10<tm1a(EUCOMM)Hmgu>
HEPD0522_3_C07_10253	Gm5134	Gm5134<tm1a(EUCOMM)Hmgu>
EPD0105_4_A10_10254	Ercc2	Ercc2<tm1a(EUCOMM)Wtsi>
EPD0183_3_C02_10255	Ggt1	Ggt1<tm1a(EUCOMM)Wtsi>
EPD0039_1_B01_10256	Snip1	Snip1<tm1a(EUCOMM)Wtsi>
EPD0037_3_G01_10257	Cyb561	Cyb561<tm1a(EUCOMM)Wtsi>
C3H.Cg-Mecom<Jbo>/H_10258	null	MGI:2158381
B6.129-Kcnj16<tm1Sjtu>/H_10259	Kcnj16	Kcnj16<tm1Sjtu>
HEPD0507_9_H02_10260	null	MGI:4436014
EPD0113_1_B01_10261	Med18	Med18<tm1a(EUCOMM)Wtsi>
EPD0227_5_D08_10262	Mpi	Mpi<tm1a(EUCOMM)Wtsi>
129S9/SvEvH-Nespas<tm3Jop>/H_10263	Nespas	Gnas/Nespas<tm2.1Jop> 
EPD0052_1_G06_10264	Orc5l	Orc5<tm1a(EUCOMM)Wtsi>
EPD0033_1_D06_10265	Osbpl9	Osbpl9<tm1a(KOMP)Wtsi>
B6.129-Ptch1<tm1Mps>/JH_10266	Ptch1	Ptch1<tm1Mps> 
B6NDen;129P2-HBP1<not yet available>/H_10267	null	
EPD0069_1_A07_10268	Nipsnap1	Nipsnap1<tm1a(EUCOMM)Wtsi>
EPD0052_2_C03_10269	Secisbp2	Secisbp2<tm1a(EUCOMM)Wtsi>
B6.Cg-Sfrp2<l153N>/H_10270	Sfrp2	Sfrp2<I153N>
129-Shh<tm1Chg>/H _10271	Shh	Shh<tm1Chg>
129-Smo<tm1Amc>/H_10272	Smo	Smo<tm1Amc>
EPD0059_2_C08 _10273	Snf8	Snf8<tm1a(EUCOMM)Hmgu>
EUCJ0012h08_10274	null	
C57BL/6J-Tg(Thy1-MAPT*P301S)2541Godt_10275	Tg(Thy1-MAPT*P301S)2541Godt 	Tg(Thy1-MAPT*P301S)2541Godt
HEPD0522_7_A09_10276	Tbc1d2b	Tbc1d2b<tm1a(EUCOMM)Hmgu>
C57BL/6J-Ucp1<m1H>/H_10277	Ucp1	Ucp1<m1H>
EPD0100_5_A01_10278	Uros	Uros<tm1a(EUCOMM)Wtsi>
EPD0230_3_A07_10279	Zfp704	Zfp704<tm1a(EUCOMM)Wtsi>
HEPD0520_1_F11_10280	Zfp715	Zfp715<tm1a(EUCOMM)Hmgu>
EPD0140_5_D09_10281	Grin2d	Grin2d<tm1a(EUCOMM)Wtsi>
C3H.C-Trpc3<Mwk>/H _10282	Trpc3	Trpc3<Mwk>
C3H.C-Mecom<Jbo>/H _10283	Mecom	Mecom<Jbo>
C3H.A-Vangl2<Lp>/H_10284	Vangl2	Vangl2<Lp>
B6.Cg-Tg(Thy1-MAPT*P301S)2541Godt/H_10285	Tg(Thy1-MAPT*P301S)2541Godt	Tg(Thy1-MAPT*P301S)2541Godt
HEPD0543_7_B10_10286	Rbfox3	Rbfox3<tm1a(EUCOMM)Hmgu>
EPD0155_6_A07_10287	Afmid	Afmid<tm1a(EUCOMM)Wtsi>
EPD0033_1_E01 _10288	Ddx27	Ddx27<tm1a(KOMP)Wtsi>
129-Nespas<tm1Jop>/H_10289	null	MGI:3621477
HEPD0539_9_C10_10292	Spryd3	Spryd3<tm1a(EUCOMM)Hmgu>
EPD0155_4_B07_10293	Cap2	Cap2<tm1a(EUCOMM)Wtsi>
EUC0027G03_10295	Arhgef18	Arhgef18<Gt(EUC0027g03)Hmgu>
HEPD0506_1_B11_10296	Gsk3a	Gsk3a<tm1a(EUCOMM)Hmgu>
EUC0050E03_10297	Aco2	Aco2<Gt(EUC0050e03)Hmgu>
Insl5_10299	Insl5	Insl5
HST009_10302	Slc12a1	Slc12a1<urehr3>
Sighted C3H_10304	Pde6b	Pde6b
Dll1<C413Y>_10305	Dll1	Dll1<m1Mhda>
Emp3_10306	Emp3	Emp3
HST012_10307	Umod	Umod<urehr4>
HEPD0522_7_H06_10308	Mmp11	Mmp11<tm1a(EUCOMM)Hmgu>
Abcb4_10310	Abcb4	Abcb4<tm1Bor>
ABE1_10311	Myo6	Myo6<Tlc>
EPD0037_1_B03_10316	Fam134c	Fam134c<tm2a(EUCOMM)Wtsi>
CMHD-TM_N01174P0_T28D11_10320	Angel1	Angel1<tm1(NCOM)Cmhd>
CMHD-TM_N00105P0_T28A8_10321	Itch	Itch<tm1(NCOM)Cmhd>
CMHD-TM_N01605P1_T53C4_10322	Zbtb45 	Zbtb45<tm1(NCOM)Cmhd>
EUC BL6-FP00042B07_10324	Setdb1	Setdb1<tm1a(EUCOMM)Wtsi>
DEA3_10325	Tmc1	Tmc1<Bth>
DKK3_10326	Dkk3	Dkk3<tm1Cni>
EUCJ0019C12_10329	Pml	Pml<Gt(EUCJ0019c12)Hmgu>
EPD060_1_B12_10330	Hgs	Hgs<tm1a(EUCOMM)Wtsi>
EPD0011_3_B08_10331	Mta3	Mta3<tm3a(KOMP)Wtsi>
Dll1_C3H_10333	Dll1	Dll1<tm1Gos>
Miz1_10334	Pias2	Pias2<Gt(pT1Betageo)1Ruiz>
NADH_10335	Aifm2	Aifm2
Ino80e tm1a KO_10336	Ino80e	Ino80e<tm1a(EUCOMM)Wtsi>
Asxl tm1a KO_10337	Asxl1	Asxl1<tm1a(EUCOMM)Wtsi>
Stx8tm3a KO_10338	Stx8	Stx8<tm2a(EUCOMM)Wtsi>
Cidec tm1a KO_10339	Cidec	Cidec<tm1a(EUCOMM)Wtsi>
Wrnip1tm1a KO_10340	Wrnip1	Wrnip1<tm1a(EUCOMM)Wtsi>
FoxP2 delta exon7_10341	Foxp2	Foxp2<tm2.1Woen>
HEPD0543_8_G03_10342	Hprt 	Hprt<tm1a(EUCOMM)Hmgu>
EPD0145_4_B09_10343	4930471M23Rik 	4930471M23Rik<tm1a(EUCOMM)Wtsi>
EUCJ0079D10_10344	Pknox1	Pknox1<Gt(EUCJ0079d10)Hmgu>
EPD0102_4_A04_10345	Hells	Hells<tm1a(EUCOMM)Wtsi>
EPD0164_4_E12_10346	Setdb2	Setdb2<tm1a(KOMP)Wtsi>
Dmbt1_10348	Dmbt1	Dmbt1<tm1Janm>
DLG3_10349	Gnl3	Gnl3<Gt(W062C05)Wrst>
EPD0100_5_F06_10352	Nfxl1	Nfxl1<tm1a(EUCOMM)Wtsi>
HEPD0507_8_G08_10354	Cacnb4	Cacnb4<tm1a(EUCOMM)Hmgu>
EPD0173_1_F02_10355	Mib2	Mib2<tm1a(EUCOMM)Wtsi>
HEPD0551_3_C11_10356	Dock10	Dock10<tm1a(EUCOMM)Hmgu>
HEPD0534_7_E02_10357	E430025E21Rik	E430025E21Rik<tm1a(EUCOMM)Hmgu>
Cin85_10358	Sh3kbp1	Sh3kbp1<tm1Ivdi>
HEPD0516_3_C04_10359	E330016A19Rik	E330016A19Rik<tm1a(EUCOMM)Hmgu>
HEPD0546_1_F06_10360	Dnajc17	Dnajc17<tm1a(EUCOMM)Hmgu>
EPD0158_3_A11_10361	Jmjd6	Jmjd6<tm1a(EUCOMM)Wtsi>
HEPD0538_1_D11_10362	Trnt1	Trnt1<tm1a(EUCOMM)Hmgu>
EPD0131_2_B09_10363	Rc3h2	Rc3h2<tm1a(KOMP)Wtsi>
HEPD0528_6_A02_10364	Rnase10	Rnase10<tm1a(EUCOMM)Hmgu>
HEPD0529_7_C09_10365	Pacs2	Pacs2<tm1a(EUCOMM)Hmgu>
EPD0176_5_A09_10366	Mrpl54	Mrpl54<tm1a(EUCOMM)Wtsi>
HEPD0550_3_B11_10367	Bloc1s1	Bloc1s1<tm1a(EUCOMM)Hmgu>
HEPD0547_1_C09_10368	Ascc3	Ascc3<tm1a(EUCOMM)Hmgu>
HEPD0540_3_F06_10369	Fgl1	Fgl1<tm1a(EUCOMM)Hmgu>
EPD0102_1_B10_10370	Ddx52	Ddx52<tm1a(EUCOMM)Wtsi>
EPD0087_3_G06_10371	Orc4l	Orc4<tm1a(EUCOMM)Wtsi>
HEPD0528_4_A08_10372	Zfp13	Zfp13<tm1a(EUCOMM)Hmgu>
EPD0146_4_A06_10373	Fam86	Fam86<tm1a(EUCOMM)Wtsi>
EPD0155_3_D10_10374	Fam110b	Fam110b<tm1a(EUCOMM)Wtsi>
HEPD0539_1_A05_10375	Pla2g10	Pla2g10<tm1a(EUCOMM)Hmgu>
EPD0116_1_C09_10376	Eif2b5	Eif2b5<tm1a(EUCOMM)Wtsi>
HEPD0509_7_C01_10377	Col5a1	Col5a1<tm1a(EUCOMM)Hmgu>
EPD0227_7_D02_10378	Slc25a38	Slc25a38<tm1a(EUCOMM)Wtsi>
HEPD0505_2_B06_10379	Bag1	Bag1<tm1a(EUCOMM)Hmgu>
EPD0100_4_A06_10380	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
EPD0113_4_B07_10381	Flot2	Flot2<tm2a(EUCOMM)Wtsi>
EPD0243_4_E03_10382	Lhx1	Lhx1<tm1a(EUCOMM)Wtsi>
EPD0114_3_B05_10383	Itgb5	Itgb5<tm1a(EUCOMM)Wtsi>
HEPD0516_2_B11_10384	Arcn1	Arcn1<tm1a(EUCOMM)Hmgu>
EPD0117_4_C03_10385	Pgd	Pgd<tm1a(EUCOMM)Wtsi>
Tbp2_10386	MGI:2684058	Tbp2
Bin1_mut1_10387	Bin1	Bin1_mut1
Bin1_mut2_10388	Bin1	Bin1_mut2
STARD3NL_10389	Stard3nl	STARD3NL
HEPD0529_1_B03_10390	Nfasc	Nfasc<tm1a(EUCOMM)Hmgu>
Stard3_10391	Stard3	Stard3
HEPD0530_7_A11_10392	Stk30	Stk30<tm1a(EUCOMM)Hmgu>
HEPD0520_6_B03_10393	Hsf2bp	Hsf2bp<tm1a(EUCOMM)Hmgu>
EPD0192_1_D02_10394	8430419L09Rik	8430419L09Rik<tm1a(EUCOMM)Wtsi>
EPD0037_1_B03_10395	Fam134c	Fam134c<tm2a(EUCOMM)Wtsi>
HEPD0523_5_D11_10396	Mybpc3	Mybpc3<tm1a(EUCOMM)Hmgu>
HEPD0522_7_A09_10397	Tbc1d2b	Tbc1d2b<tm1a(EUCOMM)Hmgu>
EPD0069_2_E02_10398	Pa2g4	Pa2g4<tm1a(EUCOMM)Wtsi>
EPD0065_4_D03_10399	Bre	Bre<tm1a(EUCOMM)Wtsi>
EPD0039_1_B01_10400	Snip1	Snip1<tm1a(EUCOMM)Wtsi>
EPD0037_1_E07_10401	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
EPD0100_4_A06_10402	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
EPD0052_3_D02_10403	Fam117b	Fam117b<tm1a(EUCOMM)Wtsi>
EPD0057_2_C02_10404	Ttll4	Ttll4<tm1a(EUCOMM)Wtsi>
129-Shh<tm1Chg>/H _10405	Shh	Shh<tm1Chg>
129S9/SvEvH-Nodal<tm1Rob>/H_10406	Nodal	Nodal<tm1Rob>
129S9/SvEvH-Ablim1<tm1H>/H _10407	Ablim1	Ablim1
129S9/SvEvH-Nespas<tm3Jop>/H_10408	Nespas	Nespas
129-Smo<tm1Amc>/H_10409	Smo	Smo<tm1Amc>
129/SvEv-Gnas<tm1Jop>/H _10410	Gnas	Gnas<tm1Jop>
129P2/OlaHsd-Fbxl3<Gt(CB0226)Wtsi>/H_10411	Fbx13	Fbx13
129P2/OlaHsd-Tpcn2<Gt(YHD437)Byg>/H_10412	Tpcn2	Tpcn2<Gt(YHD437)Byg>
129P2/OlaHsd-Tpcn1<Gt(XG716)Byg>/H_10413	Tpcn1	Tpcn1
129P2/OlaHsd-Map3k1<Gt(YTC001)Byg>/H_10414	Map3k1	Map3k1
129-Nespas<tm1Jop>/H_10415	Nespas	Nespas<tm1Jop>
B6.129-Kcnj16<tm1Sjtu>/H_10416	Kcnj16	Kcnj16
B6.129P2-Mro<tm1H>/H_10417	Mro	Mro<tm1H>
B6.Cg-Sfrp5<Q27stop>/H_10418	Sfrp5	Sfrp5<Q27stop>
B6.Cg-Tg(Thy1-MAPT*P301S)2541Godt/H_10419	Tg(Thy1-MAPT*P301S)2541Godt	MGI:3778191
C57BL/6J-Ucp1<m1H>/H_10420	Ucp1	Ucp1<m1H>
B6.Cg-Sfrp2<C50F>/H_10421	Sfrp2	Sfrp2<C50F>
FLOTILLIN1_NOT_OSN_10422	Flot1	NULL
B6.Cg-Sfrp2<I153N>/H_10423	Sfrp2	Sfrp2<I153N>
B6.129-Sfrp2<tm1Aksh>_10424	Sfrp2	Sfrp2<tm1Aksh>
B6.129-Sfrp1<tm1Aksh>_10425	Sfrp1	Sfrp1<tm1Aksh>
B6.129-Ptch1<tm1Mps>/JH_10426	Ptch1	Ptch1<tm1Mps>
March 7 targeted gene trap Cross 1_10427	March7	March7
B6.Cg-cub/H_10428	cub	cub
B6.129P2-Vnn1<tm1Pna>/H_10429	MGI:108395	Vnn1<tm1Pna>
EPD0069_3_A11_10430	Cul7	Cul7<tm1a(EUCOMM)Wtsi>
EPD0105_4_A10_10431	Ercc2	Ercc2<tm1a(EUCOMM)Wtsi>
EPD0052_2_C03_10432	Secisbp2	Secisbp2<tm1a(EUCOMM)Wtsi>
EPD0023_1_F07_10433	Slc38a10	Slc38a10<tm2a(EUCOMM)Wtsi>
EPD0230_3_A07_10434	Zfp704	Zfp704<tm1a(EUCOMM)Wtsi>
HEPD0522_3_C07_10435	Gm5134	Gm5134<tm1a(EUCOMM)Hmgu>
EPD0227_5_D08_10436	Mpi	Mpi<tm1a(EUCOMM)Wtsi>
EPD0100_5_A01_10437	Uros	Uros<tm1a(EUCOMM)Wtsi>
MARCH9-KO_NOT_OSN_10438	March9	March9<tm1a(EUCOMM)Wtsi>
HEPD0525_1_C12 _10439	Capn5	Capn5<tm1a(EUCOMM)Hmgu>
EPD0033_1_E01 _10440	Ddx27	Ddx27<tm1a(KOMP)Wtsi>
HEPD0513_3_B04_10441	Parl	Parl<tm1a(EUCOMM)Hmgu>
EPD0059_2_C08 _10442	Snf8	Snf8<tm1a(EUCOMM)Wtsi>
HEPD0520_1_F11_10443	Zfp715	Zfp715<tm1a(EUCOMM)Hmgu>
C.Cg-Celsr1<Crsh>/H _10444	Celsr1	Celsr1<Crsh>
C.Cg-Ostes/H_10445	ostes	ostes
C3H.Cg-Ptk7<chz>/H_10446	Ptk7	Ptk7<chz>
C3H.B6-Tulp3<hhkr>/H _10447	Tulp3	Tulp3<hhkr>
C3H.Cg-Celsr1<Scy>/H_10448	Celsr1	Celsr1<Scy>
C3H.C-Mecom<Jbo>/H _10449	Mecom	Mecom<Jbo>
C3H.A-Vangl2<Lp>/H_10450	Vangl2	Vangl2<Lp>
HEPD0556_7_B06_10451	Bag3	Bag3<tm1a(EUCOMM)Hmgu>
HEPD0551_2_A04_10452	BC055324	BC055324<tm1a(EUCOMM)Hmgu>
HEPD0550_3_D01_10453	Dnajc19	Dnajc19<tm1a(EUCOMM)Hmgu>
HEPD0516_3_C09_10454	Mcf2l	Mcf2l<tm1a(EUCOMM)Hmgu>
EPD0087_5_C08_10455	Parvb	Parvb<tm1a(EUCOMM)Wtsi>
HEPD0550_4_A06_10456	Tmem167	Tmem167<tm1a(EUCOMM)Hmgu>
C3H.Cg-Fbxo11<Jf>/H_10457	Fbxo11	Fbxo11<Jf>
C3H.C-Trpc3<Mwk>/H _10458	Trpc3	Trpc3<Mwk>
EPD0060_2_C05_10459	Fam83g	Fam83g<tm1a(EUCOMM)Wtsi>
EPD0060_2_A11_10460	Smpdl3b	Smpdl3b<tm1a(EUCOMM)Wtsi>
EPD0057_2_C04_10461	Rnf7	Rnf7<tm1a(EUCOMM)Wtsi>
HEPD0534_4_G05_10462	Npc1	Npc1<tm1a(EUCOMM)Hmgu>
EPD0113_1_B01_10463	Med18	Med18<tm1a(EUCOMM)Wtsi>
EPD0019_1_A05_10464	Mysm1	Mysm1<tm1a(KOMP)Wtsi>
MARCH9-KO_NOT_OSN_10465	March9	MGI:4452800
HEPD0523_5_D11_10466	Mybpc3	Mybpc3<tm1a(EUCOMM)Hmgu>
HEPD0522_7_A09_10467	Tbc1d2b	Tbc1d2b<tm1a(EUCOMM)Hmgu>
EPD0069_2_E02_10468	Pa2g4	Pa2g4<tm1a(EUCOMM)Wtsi>
EPD0065_4_D03_10469	Bre	Bre<tm1a(EUCOMM)Wtsi>
EPD0039_1_B01_10470	Snip1	Snip1<tm1a(EUCOMM)Wtsi>
EPD0037_1_E07_10471	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
EPD0100_4_A06_10472	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
EPD0052_3_D02_10473	Fam117b	Fam117b<tm1a(EUCOMM)Wtsi>
EPD0057_2_C02_10474	Ttll4	Ttll4<tm1a(EUCOMM)Wtsi>
129-Nespas<tm1Jop>/H_10475	Nespas	Nespas<tm1Jop>
B6.Cg-Sfrp2<I153N>/H_10476	Sfrp2	Sfrp2<I153N>
B6.129-Sfrp2<tm1Aksh>_10477	Sfrp2	Sfrp2<tm1Aksh>
B6.129-Sfrp1<tm1Aksh>_10478	Sfrp1	Sfrp1<tm1Aksh>
129P2/OlaHsd-Fbxl3<Gt(CB0226)Wtsi>/H_10479	Fbx13	Fbxl3<Gt(CB0226)Wtsi>
EPD0069_3_A11_10480	Cul7	Cul7<tm1a(EUCOMM)Wtsi>
EPD0023_1_F07_10481	Slc38a10	Slc38a10<tm2a(EUCOMM)Wtsi>
B6.129P2-Mro<tm1H>/H_10482	Mro	Mro<tm1H>
March 7 targeted gene trap Cross 1_10483	March7	March7
MARCH9-KO_NOT_OSN_10484	March9	March9<tm1a(EUCOMM)Wtsi>
C3H.B6-Tulp3<hhkr>/H _10485	Tulp3	Tulp3<hhkr>
EPD0060_2_C05_10486	Fam83g	Fam83g<tm1a(EUCOMM)Wtsi>
EPD0060_2_A11_10487	Smpdl3b	Smpdl3b<tm1a(EUCOMM)Wtsi>
EPD0057_2_C04_10488	Rnf7	Rnf7<tm1a(EUCOMM)Wtsi>
EPD0105_4_A10_10489	Ercc2	Ercc2<tm1a(EUCOMM)Wtsi>
EPD0052_2_C03_10490	Secisbp2	Secisbp2<tm1a(EUCOMM)Wtsi>
EPD0230_3_A07_10491	Zfp704	Zfp704<tm1a(EUCOMM)Wtsi>
HEPD0556_7_B06_10492	Bag3	Bag3<tm1a(EUCOMM)Hmgu>
HEPD0551_2_A04_10493	BC055324	BC055324<tm1a(EUCOMM)Hmgu>
EPD0019_1_A05_10494	Mysm1	Mysm1<tm1a(KOMP)Wtsi>
HEPD0516_3_C09_10495	Mcf2l	Mcf2l<tm1a(EUCOMM)Hmgu>
HEPD0534_4_G05_10496	Npc1	Npc1<tm1a(EUCOMM)Hmgu>
HEPD0513_3_B04_10497	Parl	Parl<tm1a(EUCOMM)Hmgu>
HEPD0550_4_A06_10498	Tmem167	Tmem167<tm1a(EUCOMM)Hmgu>
HEPD0550_3_D01_10499	Dnajc19	Dnajc19<tm1a(EUCOMM)Hmgu>
EPD0087_5_C08_10500	Parvb	Parvb<tm1a(EUCOMM)Wtsi>
Nox4_10501	Nox4	Nox4<tm1.1Hwsc>
EUC0047A08_10502	Golm1	Golm1<Gt(EUC0047a08)Hmgu>
HEPD0510_8_G06_10503	Trib3	Trib3<tm1a(EUCOMM)Hmgu>
HEPD0534_4_B11_10504	Dpp9	Dpp9<tm1a(EUCOMM)Hmgu>
HEPD0528_5_B12_10505	Rbm4	Rbm4<tm1a(EUCOMM)Hmgu>
HEPD0546_2_F03_10506	Mosc2	Mosc2<tm2a(EUCOMM)Hmgu>
EPD0142_1_A09_10507	Fkbp10	Fkbp10<tm1a(EUCOMM)Wtsi>
HEPD0518_7_E08_10508	Vat1l	Vat1l<tm1a(EUCOMM)Hmgu>
HEPD0530_4_B02_10509	Mtrf1	Mtrf1<tm1a(EUCOMM)Hmgu>
EPD0197_3_D09_10510	Otop3	Otop3<tm1a(EUCOMM)Wtsi>
EPD0243_5_D11_10511	Rxfp2	Rxfp2<tm1a(EUCOMM)Wtsi>
EPD0045_1_B11_10512	Nxn	Nxn<tm1a(EUCOMM)Wtsi>
Vwde_10513	Vwde	Vwde<tm1Icmb>
EPD0033_3_F04_10514	Kdm4c	Kdm4c<tm1a(KOMP)Wtsi>
EPD0065_2_E04_10515	Clk1	Clk1<tm1a(EUCOMM)Wtsi>
EPD0116_2_A05_10516	Optn	Optn<tm1a(EUCOMM)Wtsi>
EPD0156_1_B01_10517	Entpd1	Entpd1<tm1a(EUCOMM)Wtsi>
EPD0144_4_G05_10518	Mapre3	Mapre3<tm1a(EUCOMM)Wtsi>
EPD0100_4_A06_10519	Elk4	Elk4<tm1a(EUCOMM)Wtsi>
HEPD0568_5_D01_10520	Zfp760	Zfp760<tm1a(EUCOMM)Hmgu>
EPD0242_4_B03_10521	Setmar	Setmar<tm1a(EUCOMM)Wtsi>
HEPD0550_6_G09_10522	Ndfip2	Ndfip2<tm1a(EUCOMM)Hmgu>
EPD0065_5_A04_10523	Jmjd5	Jmjd5<tm1a(EUCOMM)Wtsi>
EPD0369_6_A06_10524	P2rx7	P2rx7<tm1a(EUCOMM)Wtsi>
Gpt2_10525	Gpt2	Gpt2
HEPD0525_3_B05_10526	2900026A02Rik	2900026A02Rik<tm1a(EUCOMM)Hmgu>
Phex_10527	Phex	Phex<not yet available>
Hhip_10528	Hhip	Hhip<tm1Icmb>
EPD0018_2_G10_10529	Epc2	Epc2<tm1a(EUCOMM)Wtsi>
EUCE0233_A03_10530	Rab18	Rab18
EPD0127_5_F02_10531	Nup88	Nup88<tm1a(EUCOMM)Wtsi>
HEPD0543_7_B10_10532	Rbfox3	Rbfox3<tm1a(EUCOMM)Hmgu>
EPD0037_3_G01_10533	Cyb561	Cyb561<tm1a(EUCOMM)Wtsi>
